\begin{tabular}{c|ll|ll|ll|ll|ll}
\toprule
params & \multicolumn{2}{r}{ArcFace} & \multicolumn{2}{r}{Dlib} & \multicolumn{2}{r}{Facenet} & \multicolumn{2}{r}{face_recognition} & \multicolumn{2}{r}{VGG_Face} \\
eps & ARI & rel & ARI & rel & ARI & rel & ARI & rel & ARI & rel \\
\midrule
0.1 & 0.005 & 326 & 0.004 & 329 & 0.006 & 320 & 0.007 & 315 & 0.006 & 318 \\
0.2 & 0.008 & 312 & 0.006 & 318 & 0.010 & 305 & 0.013 & 293 & 0.009 & 307 \\
0.3 & 0.010 & 302 & 0.009 & 307 & 0.012 & 295 & 0.019 & 275 & 0.011 & 296 \\
0.4 & 0.011 & 297 & 0.010 & 301 & 0.015 & 284 & 0.022 & 261 & 0.013 & 290 \\
0.5 & 0.014 & 290 & 0.012 & 294 & 0.023 & 262 & 0.030 & 238 & 0.015 & 281 \\
0.6 & 0.015 & 285 & 0.014 & 288 & 0.030 & 242 & 0.043 & 211 & 0.019 & 267 \\
0.7 & 0.019 & 272 & 0.016 & 277 & 0.039 & 217 & 0.083 & 172 & 0.022 & 256 \\
0.8 & 0.023 & 261 & 0.020 & 264 & 0.063 & 185 & 0.118 & 147 & 0.024 & 248 \\
0.9 & 0.027 & 246 & 0.027 & 244 & 0.098 & 153 & 0.242 & 108 & 0.036 & 222 \\
1.0 & 0.036 & 226 & 0.039 & 222 & 0.207 & 123 & 0.371 & 82 & 0.054 & 186 \\
1.1 & 0.049 & 199 & 0.053 & 205 & 0.283 & 91 & 0.495 & 49 & 0.079 & 162 \\
1.2 & 0.070 & 174 & 0.096 & 166 & 0.373 & 76 & 0.671 & 37 & 0.110 & 142 \\
1.3 & 0.101 & 142 & 0.163 & 141 & 0.488 & 59 & 0.750 & 27 & 0.169 & 121 \\
1.4 & 0.139 & 114 & 0.215 & 117 & 0.539 & 44 & 0.782 & 20 & 0.235 & 100 \\
1.5 & 0.198 & 93 & 0.272 & 90 & 0.675 & 29 & 0.820 & 15 & 0.327 & 76 \\
1.6 & 0.325 & 73 & 0.427 & 67 & 0.699 & 23 & 0.904 & 11 & 0.383 & 64 \\
1.7 & 0.386 & 61 & 0.522 & 51 & 0.725 & 19 & 0.925 & 8 & 0.507 & 51 \\
1.8 & 0.479 & 46 & 0.593 & 42 & 0.761 & 12 & 0.934 & 7 & 0.570 & 44 \\
1.9 & 0.527 & 37 & 0.671 & 31 & 0.800 & 6 & 0.934 & 7 & 0.653 & 36 \\
2.0 & 0.572 & 30 & 0.694 & 27 & 0.793 & 3 & 0.934 & 7 & 0.686 & 30 \\
2.1 & 0.662 & 20 & 0.743 & 23 & 0.672 & -1 & 0.962 & 3 & 0.725 & 22 \\
2.2 & 0.695 & 13 & 0.750 & 16 & 0.647 & -4 & 0.964 & 1 & 0.791 & 15 \\
2.3 & 0.736 & 9 & 0.750 & 16 & 0.647 & -4 & 0.964 & 0 & 0.844 & 10 \\
2.4 & 0.756 & 8 & 0.759 & 14 & 0.522 & -5 & 0.964 & 0 & 0.743 & 7 \\
2.5 & 0.709 & 4 & 0.734 & 7 & 0.503 & -6 & 0.964 & 0 & 0.743 & 7 \\
2.6 & 0.514 & 0 & 0.726 & 5 & 0.506 & -7 & 0.956 & -2 & 0.698 & 4 \\
2.7 & 0.507 & -2 & 0.658 & 1 & 0.506 & -7 & 0.929 & -3 & 0.668 & -1 \\
2.8 & 0.507 & -2 & 0.633 & 0 & 0.506 & -7 & 0.929 & -4 & 0.668 & -1 \\
2.9 & 0.451 & -4 & 0.514 & -4 & 0.506 & -7 & 0.929 & -4 & 0.671 & -2 \\
3.0 & 0.451 & -4 & 0.514 & -4 & 0.499 & -8 & 0.929 & -4 & 0.671 & -2 \\
3.1 & 0.433 & -5 & 0.508 & -7 & 0.380 & -9 & 0.929 & -4 & 0.681 & -3 \\
3.2 & 0.353 & -6 & 0.313 & -9 & 0.380 & -9 & 0.911 & -5 & 0.408 & -5 \\
3.3 & 0.358 & -7 & 0.249 & -11 & 0.380 & -9 & 0.849 & -7 & 0.408 & -5 \\
3.4 & 0.179 & -8 & 0.248 & -12 & 0.361 & -10 & 0.741 & -9 & 0.400 & -6 \\
3.5 & 0.171 & -9 & 0.232 & -13 & 0.361 & -10 & 0.741 & -9 & 0.381 & -7 \\
3.6 & 0.171 & -9 & 0.145 & -14 & 0.368 & -11 & 0.741 & -9 & 0.366 & -8 \\
3.7 & 0.171 & -9 & 0.145 & -14 & 0.368 & -11 & 0.741 & -9 & 0.366 & -8 \\
3.8 & 0.171 & -9 & 0.145 & -14 & 0.352 & -12 & 0.741 & -9 & 0.364 & -9 \\
3.9 & 0.172 & -10 & 0.004 & -15 & 0.352 & -12 & 0.690 & -10 & 0.315 & -10 \\
